timestamp,user,action
2026-03-01T10:59:31.372Z,USR1040,file_upload
2026-03-03T21:52:53.455Z,USR1046,file_download
2026-02-26T03:56:55.839Z,USR1010,file_upload
2026-02-22T10:14:05.016Z,USR1031,login
2026-02-28T12:48:23.247Z,USR1021,file_upload
2026-02-18T00:22:37.903Z,USR1043,logout
2026-02-22T21:59:50.160Z,USR1027,email_send
2026-02-16T01:51:07.775Z,USR1006,database_query
2026-02-14T17:31:40.842Z,USR1027,file_download
2026-02-23T00:45:13.374Z,USR1006,logout
2026-02-17T12:50:59.471Z,USR1010,email_send
2026-02-27T04:23:01.456Z,USR1011,logout
2026-02-20T16:30:42.139Z,USR1020,usb_insert
2026-02-21T07:46:10.340Z,USR1018,logout
2026-02-05T11:08:27.969Z,USR1041,logout
2026-02-14T13:52:02.069Z,USR1043,database_query
2026-02-13T14:42:32.327Z,USR1005,file_upload
2026-02-23T16:50:06.619Z,USR1020,usb_insert
2026-02-21T13:28:07.573Z,USR1016,database_query
2026-03-05T11:08:27.526Z,USR1043,usb_insert
2026-02-22T11:08:35.918Z,USR1027,file_download
2026-02-14T02:30:07.403Z,USR1045,file_upload
2026-02-17T18:09:09.758Z,USR1042,email_send
2026-03-06T06:31:52.523Z,USR1032,email_send
2026-02-19T14:27:53.121Z,USR1038,database_query
2026-02-07T08:30:55.368Z,USR1028,file_upload
2026-03-04T01:37:18.303Z,USR1020,login
2026-02-28T01:45:16.201Z,USR1025,file_download
2026-02-27T21:15:23.567Z,USR1015,database_query
2026-02-17T10:29:12.920Z,USR1013,logout
2026-03-04T13:16:45.939Z,USR1015,usb_insert
2026-02-04T17:14:04.303Z,USR1027,file_download
2026-02-12T17:26:04.373Z,USR1010,file_download
2026-02-11T02:07:23.406Z,USR1039,file_download
2026-02-16T00:54:58.074Z,USR1034,login
2026-02-06T01:59:11.037Z,USR1038,login
2026-02-05T14:12:24.296Z,USR1024,file_upload
2026-02-05T20:47:12.537Z,USR1037,logout
2026-02-13T13:41:34.939Z,USR1041,file_upload
2026-03-01T09:50:24.427Z,USR1020,email_send
2026-02-26T03:28:34.920Z,USR1025,file_upload
2026-02-17T12:27:11.509Z,USR1008,logout
2026-02-10T10:46:37.679Z,USR1007,login
2026-02-07T09:49:52.495Z,USR1004,file_download
2026-03-02T14:33:55.939Z,USR1044,database_query
2026-02-26T21:19:37.874Z,USR1025,login
2026-02-15T18:25:09.371Z,USR1015,file_upload
2026-02-04T11:05:36.762Z,USR1013,file_download
2026-02-26T04:01:38.377Z,USR1045,email_send
2026-02-18T20:42:55.330Z,USR1035,email_send
2026-03-06T07:47:29.817Z,USR1029,login
2026-02-06T01:04:49.908Z,USR1012,database_query
2026-03-02T09:03:09.374Z,USR1004,email_send
2026-02-21T03:00:11.760Z,USR1027,database_query
2026-02-11T01:22:27.326Z,USR1047,file_download
2026-02-25T05:31:24.995Z,USR1021,login
2026-02-18T05:56:40.807Z,USR1032,file_upload
2026-02-27T13:15:48.900Z,USR1008,file_download
2026-02-22T06:23:06.150Z,USR1039,database_query
2026-02-23T18:14:38.599Z,USR1048,login
2026-02-24T12:03:46.173Z,USR1037,database_query
2026-02-05T13:11:43.330Z,USR1012,login
2026-02-25T17:49:07.675Z,USR1016,login
2026-02-05T19:56:44.158Z,USR1019,database_query
2026-02-28T08:42:59.966Z,USR1041,file_download
2026-02-14T00:55:59.480Z,USR1025,file_upload
2026-02-14T09:20:36.987Z,USR1002,usb_insert
2026-02-05T11:05:39.401Z,USR1030,login
2026-02-21T06:29:04.743Z,USR1022,login
2026-02-09T11:24:34.742Z,USR1037,logout
2026-02-18T16:44:53.574Z,USR1011,email_send
2026-02-27T01:27:35.079Z,USR1005,usb_insert
2026-02-04T21:13:13.589Z,USR1037,usb_insert
2026-02-19T16:42:55.554Z,USR1006,logout
2026-03-05T21:53:09.771Z,USR1000,usb_insert
2026-03-02T01:01:18.931Z,USR1009,login
2026-02-11T11:37:25.444Z,USR1006,login
2026-02-08T19:58:13.171Z,USR1015,email_send
2026-02-10T22:50:54.595Z,USR1006,file_upload
2026-02-07T16:38:30.046Z,USR1024,email_send
2026-02-17T21:03:19.153Z,USR1036,login
2026-02-07T02:51:45.762Z,USR1031,file_upload
2026-03-02T09:13:25.453Z,USR1017,email_send
2026-02-23T18:48:52.048Z,USR1003,email_send
2026-02-06T00:53:02.066Z,USR1000,email_send
2026-02-28T23:04:32.438Z,USR1038,login
2026-02-04T12:48:12.991Z,USR1041,file_upload
2026-02-28T16:34:38.470Z,USR1033,logout
2026-02-10T22:55:02.344Z,USR1002,usb_insert
2026-02-19T16:57:49.347Z,USR1034,file_download
2026-02-13T18:56:03.696Z,USR1037,logout
2026-03-01T06:47:43.288Z,USR1046,database_query
2026-02-19T09:33:46.567Z,USR1040,database_query
2026-03-03T20:23:16.630Z,USR1019,file_download
2026-02-25T16:57:12.048Z,USR1012,database_query
2026-02-11T20:57:42.270Z,USR1005,login
2026-03-05T10:59:53.209Z,USR1012,file_upload
2026-02-09T05:37:52.486Z,USR1046,file_upload
2026-03-03T18:07:07.011Z,USR1031,login
2026-03-02T08:05:40.719Z,USR1049,login
2026-03-05T12:12:46.406Z,USR1044,usb_insert
2026-03-03T21:11:50.705Z,USR1034,file_upload
2026-02-19T18:39:52.592Z,USR1022,database_query
2026-02-21T14:14:47.757Z,USR1042,file_upload
2026-02-08T09:58:08.522Z,USR1039,usb_insert
2026-02-09T04:53:09.516Z,USR1019,usb_insert
2026-03-01T12:15:33.979Z,USR1017,file_download
2026-02-11T20:00:27.849Z,USR1000,email_send
2026-02-27T05:19:20.887Z,USR1048,file_upload
2026-02-16T16:38:05.703Z,USR1009,email_send
2026-03-03T23:45:13.213Z,USR1035,file_upload
2026-02-17T13:40:28.452Z,USR1021,login
2026-03-04T22:21:08.881Z,USR1046,file_download
2026-02-05T08:49:16.293Z,USR1005,file_upload
2026-03-05T06:15:34.701Z,USR1032,database_query
2026-03-02T02:08:33.892Z,USR1028,database_query
2026-03-03T09:25:48.322Z,USR1042,email_send
2026-02-13T16:29:31.554Z,USR1035,database_query
2026-03-02T16:18:02.864Z,USR1009,logout
2026-02-16T03:08:04.937Z,USR1000,file_download
2026-02-15T22:37:19.758Z,USR1034,logout
2026-03-06T09:41:41.873Z,USR1033,database_query
2026-02-06T19:27:54.401Z,USR1004,database_query
2026-02-09T02:10:53.808Z,USR1042,login
2026-02-20T05:10:12.702Z,USR1029,usb_insert
2026-02-09T16:22:38.487Z,USR1029,file_upload
2026-02-24T05:24:08.210Z,USR1028,database_query
2026-02-14T08:23:32.302Z,USR1011,file_upload
2026-02-25T20:31:54.864Z,USR1048,database_query
2026-02-26T22:15:53.896Z,USR1028,file_upload
2026-02-11T08:56:49.849Z,USR1038,email_send
2026-02-18T20:22:21.188Z,USR1032,email_send
2026-02-07T06:37:07.904Z,USR1041,file_upload
2026-03-05T16:35:10.444Z,USR1009,file_upload
2026-02-22T21:05:42.822Z,USR1012,login
2026-02-05T03:54:07.940Z,USR1015,login
2026-02-11T02:14:45.828Z,USR1037,file_download
2026-02-25T01:31:48.533Z,USR1011,file_upload
2026-02-07T19:51:52.685Z,USR1018,database_query
2026-02-15T03:04:54.869Z,USR1004,logout
2026-02-28T01:22:21.551Z,USR1047,email_send
2026-03-05T06:18:28.653Z,USR1012,login
2026-02-21T11:07:05.850Z,USR1038,file_upload
2026-02-17T12:04:18.395Z,USR1010,file_download
2026-02-06T19:46:04.492Z,USR1027,email_send
2026-03-01T03:05:04.602Z,USR1015,file_download
2026-02-06T17:29:59.255Z,USR1022,login
2026-02-16T20:54:31.037Z,USR1037,usb_insert
2026-02-18T05:06:29.165Z,USR1038,database_query
2026-02-20T02:09:35.857Z,USR1001,logout
2026-03-05T15:53:27.454Z,USR1004,logout
2026-03-01T01:03:08.944Z,USR1047,logout
2026-03-05T05:51:33.420Z,USR1011,database_query
2026-02-27T12:52:28.933Z,USR1032,logout
2026-03-02T15:03:40.208Z,USR1019,logout
2026-02-15T02:05:51.788Z,USR1026,file_upload
2026-03-05T19:02:21.661Z,USR1027,email_send
2026-03-04T05:39:51.037Z,USR1018,file_download
2026-02-06T06:58:08.881Z,USR1000,email_send
2026-02-10T10:06:50.847Z,USR1006,logout
2026-03-05T09:39:51.189Z,USR1000,file_download
2026-02-12T20:19:22.066Z,USR1002,database_query
2026-02-05T07:39:03.275Z,USR1024,login
2026-02-08T03:01:26.190Z,USR1028,database_query
2026-02-21T21:19:46.100Z,USR1024,usb_insert
2026-02-15T18:25:03.198Z,USR1009,logout
2026-02-07T05:17:31.538Z,USR1015,login
2026-02-20T16:37:37.532Z,USR1040,email_send
2026-02-22T09:07:14.643Z,USR1048,database_query
2026-02-09T08:14:30.556Z,USR1039,email_send
2026-02-07T08:33:35.858Z,USR1038,file_download
2026-02-27T12:25:01.384Z,USR1032,login
2026-03-01T23:39:31.316Z,USR1001,file_upload
2026-02-19T15:50:35.004Z,USR1016,database_query
2026-03-04T01:58:18.462Z,USR1027,file_upload
2026-02-12T18:13:16.701Z,USR1040,logout
2026-02-14T17:52:23.295Z,USR1002,logout
2026-02-15T21:20:02.204Z,USR1030,email_send
2026-02-08T12:20:02.267Z,USR1005,file_download
2026-03-03T23:37:44.254Z,USR1001,file_upload
2026-02-05T06:27:45.768Z,USR1031,file_download
2026-03-04T09:43:05.393Z,USR1000,login
2026-02-21T08:15:13.784Z,USR1011,login
2026-02-09T14:42:54.184Z,USR1028,database_query
2026-02-18T20:55:22.753Z,USR1009,usb_insert
2026-02-28T18:03:47.585Z,USR1001,login
2026-02-12T19:34:40.502Z,USR1008,login
2026-02-17T07:39:19.168Z,USR1032,email_send
2026-03-05T16:21:39.802Z,USR1015,file_upload
2026-02-12T16:15:22.619Z,USR1046,file_upload
2026-03-01T02:46:27.446Z,USR1009,file_download
2026-02-14T16:37:29.436Z,USR1003,database_query
2026-02-16T04:30:39.665Z,USR1030,file_upload
2026-02-05T19:42:38.607Z,USR1023,file_upload
2026-03-03T20:21:22.542Z,USR1024,database_query
2026-02-16T23:01:56.268Z,USR1002,usb_insert
2026-02-27T08:57:50.079Z,USR1022,usb_insert
2026-02-06T12:15:23.576Z,USR1030,database_query
2026-03-05T21:32:01.401Z,USR1032,email_send
2026-02-13T19:34:08.316Z,USR1049,database_query
2026-02-27T07:46:59.209Z,USR1027,file_download
2026-03-04T16:01:10.770Z,USR1023,email_send
2026-02-14T13:13:06.421Z,USR1024,logout
2026-02-13T01:45:46.288Z,USR1026,file_upload
2026-02-06T03:58:32.891Z,USR1033,usb_insert
2026-02-14T19:37:34.513Z,USR1030,email_send
2026-02-22T12:21:04.026Z,USR1003,logout
2026-02-13T11:03:44.901Z,USR1027,database_query
2026-02-11T11:04:12.573Z,USR1010,login
2026-02-22T06:52:38.172Z,USR1006,usb_insert
2026-02-24T05:39:46.591Z,USR1036,file_upload
2026-02-11T16:44:43.738Z,USR1021,file_download
2026-02-09T22:50:19.756Z,USR1028,login
2026-02-19T20:42:00.245Z,USR1006,database_query
2026-02-10T16:12:06.055Z,USR1026,file_upload
2026-02-11T18:35:44.033Z,USR1011,file_download
2026-02-07T16:33:11.882Z,USR1000,login
2026-02-18T10:18:54.085Z,USR1011,logout
2026-02-21T22:56:01.991Z,USR1033,email_send
2026-02-10T22:47:26.761Z,USR1037,usb_insert
2026-02-12T22:42:41.036Z,USR1033,file_upload
2026-03-03T22:17:11.827Z,USR1028,login
2026-02-13T03:52:33.838Z,USR1026,login
2026-02-17T18:11:35.960Z,USR1008,login
2026-02-07T07:24:51.349Z,USR1021,login
2026-02-28T08:41:46.969Z,USR1011,login
2026-02-19T18:08:16.404Z,USR1009,email_send
2026-02-23T20:06:41.165Z,USR1006,database_query
2026-02-22T02:35:07.936Z,USR1010,logout
2026-02-27T13:10:02.734Z,USR1049,login
2026-02-22T13:37:54.094Z,USR1036,usb_insert
2026-03-02T21:04:57.597Z,USR1041,usb_insert
2026-02-10T07:11:45.934Z,USR1016,file_upload
2026-02-04T21:29:21.043Z,USR1001,login
2026-02-24T11:29:12.032Z,USR1024,login
2026-02-18T08:55:46.998Z,USR1042,file_download
2026-02-05T20:21:15.587Z,USR1037,file_download
2026-02-20T15:14:28.386Z,USR1045,file_upload
